word
amazonas
antioquia
arauca
atlantico
bolivar
boyaca
caldas
caqueta
casanare
cauca
cesar
choco
cordoba
cundinamarca
guainia
guaviare
huila
la_guajira
magdalena
meta
narino
norte_de_santander
putumayo
quindio
risaralda
san_andres_y_providencia
santander
sucre
tolima
valle_del_cauca
vaupes
vichada
