region
Antioquia
Atlántico
Bogotá D.C.
Bolívar
Boyacá
Caldas
Caquetá
Cauca
Cesar
Córdoba
Cundinamarca
Chocó
Huila
La Guajira
Magdalena
Meta
Nariño
Norte de Santander
Quindío
Risaralda
Santander
Sucre
Tolima
Valle del Cauca
Arauca
Casanare
Putumayo
San Andrés
Amazonas
Guainía
Guaviare
Vaupés
Vichada
